HDTF,Class of TFs
ct,Cut homeobox TF
dve,Cut homeobox TF
onecut,Cut homeobox TF
abd-A,HOX-like homeobox TF
Abd-B,HOX-like homeobox TF
Antp,HOX-like homeobox TF
bcd,HOX-like homeobox TF
btn,HOX-like homeobox TF
cad,HOX-like homeobox TF
Dfd,HOX-like homeobox TF
eve,HOX-like homeobox TF
ftz,HOX-like homeobox TF
ind,HOX-like homeobox TF
lab,HOX-like homeobox TF
pb,HOX-like homeobox TF
ro,HOX-like homeobox TF
Scr,HOX-like homeobox TF
Ubx,HOX-like homeobox TF
ap,LIM homeobox TF
Awh,LIM homeobox TF
CG4328,LIM homeobox TF
tup,LIM homeobox TF
Lim1,LIM homeobox TF
Lim3,LIM homeobox TF
Lmx1a,LIM homeobox TF
B-H1,NK-like homeobox TF
B-H2,NK-like homeobox TF
bap,NK-like homeobox TF
bsh,NK-like homeobox TF
C15,NK-like homeobox TF
CG11085,NK-like homeobox TF
CG18599,NK-like homeobox TF
CG34031,NK-like homeobox TF
Dbx,NK-like homeobox TF
Dll,NK-like homeobox TF
Dr,NK-like homeobox TF
E5,NK-like homeobox TF
ems,NK-like homeobox TF
en,NK-like homeobox TF
H2.0,NK-like homeobox TF
exex,NK-like homeobox TF
HHEX,NK-like homeobox TF
Hmx,NK-like homeobox TF
inv,NK-like homeobox TF
lbe,NK-like homeobox TF
lbl,NK-like homeobox TF
lms,NK-like homeobox TF
NK7.1,NK-like homeobox TF
HGTX,NK-like homeobox TF
scro,NK-like homeobox TF
slou,NK-like homeobox TF
tin,NK-like homeobox TF
unpg,NK-like homeobox TF
vnd,NK-like homeobox TF
ey,Paired homeobox TF
eyg,Paired homeobox TF
gsb,Paired homeobox TF
gsb-n,Paired homeobox TF
toe,Paired homeobox TF
toy,Paired homeobox TF
al,Paired-like homeobox TF
CG32532,Paired-like homeobox TF
CG34367,Paired-like homeobox TF
CG9876,Paired-like homeobox TF
Drgx,Paired-like homeobox TF
Gsc,Paired-like homeobox TF
hbn,Paired-like homeobox TF
oc,Paired-like homeobox TF
OdsH,Paired-like homeobox TF
otp,Paired-like homeobox TF
PHDP,Paired-like homeobox TF
Ptx1,Paired-like homeobox TF
repo,Paired-like homeobox TF
Rx,Paired-like homeobox TF
unc-4,Paired-like homeobox TF
Vsx1,Paired-like homeobox TF
Vsx2,Paired-like homeobox TF
acj6,POU domain homeobox TF
nub,POU domain homeobox TF
pdm2,POU domain homeobox TF
pdm3,POU domain homeobox TF
vvl,POU domain homeobox TF
pros,Prospero homeobox TF
Optix,Sine oculis homeobox TF
Six4,Sine oculis homeobox TF
so,Sine oculis homeobox TF
achi,Tale homeobox TF
ara,Tale homeobox TF
caup,Tale homeobox TF
CG11617,Tale homeobox TF
exd,Tale homeobox TF
hth,Tale homeobox TF
mirr,Tale homeobox TF
vis,Tale homeobox TF
zfh2,Zn finger homeobox TF
zfh1,Zn finger homeobox TF